Video Id,Title,Transcript
YDTANv-7k7g,60 Day Dry Aged Picanha (Covered in frosting?) #shorts,this is a 60 day dry age pecan and we're gonna cut into it fat cap on one side completely exposed on the other we're gonna try covering the exposed side with beef tallow to protect and reduce our loss from the dry aging process 60 days later this is what we got using a spoon to remove the frosting we have untouched and perfectly edible beef below slicing into it the beef is absolutely stunning season with salt and get it over cold it's become extremely juicy flavors concentrated and dramatically more tender
K-jGQmngQEQ,Black Truffle Dry Brined Wagyu #shorts,two of the world's most luxurious ingredients wagyu and fresh black truffles and we're going all out truffle dust which includes salt dehydrated truffles and of course our freshly grated black truffle dry brine overnight this steak has been dropped in dirt sear after sous vide and this is the result melt in your mouth wag you is the perfect contrast to the toasted black truffle and crunchy crust this is crazy
bwaM4sQS1Ek,Trimming a Dry Aged Brisket #shorts,trimming and preparing a dry aged brisket after 50 days notice the hard and dry exterior that we need to slice away the first thing i noticed was that some of the fat had turned green but still smelled okay notice that incredible marbling i then moved over to the flat leaving about a quarter of an inch of fat the bottom section i tried to remove only as much as necessary since there wasn't any fat protecting it unlike a fresh brisket the color of the red meat was extremely vivid and the fat was actually rendering at room temp this is one of the juiciest briskets i've ever cooked and the nutty blue cheese dry age flavor was still very apparent even after the 10 hours of smoking
rrhB85u122o,The Steak Review: The Outback #shorts,this is the safe review and we're here at the outback bone-in ribeye medium rare also a blooming onion let's do it and set up shop using a sophisticated weighted formula we're on a mission to find the best steak in america so far i've had a great experience all the employees have been extremely nice in the bathroom solid so let's check out this steak overall we have a pretty decent char though a slight lack of consistency in the middle it's about a half an inch thick with a nice and defined cap muscle which is exactly what i'm looking for let's cut it to it so as you can see we have a perfect medium rare a little gray band but pretty minimal this is cooked almost perfectly not bad we're just doing a steak review oh no that's fine overall this is a pretty good steak definitely grilled over fire it is a little bit bland and could definitely use more salt and pepper blooming onion this tasted like a choice grade rib eye for 28 bucks that isn't bad but strong seasonings or even a sauce would have gone a long way in elevating the average meat quality the final score 73 out of 100
IGwWbYE9cFs,Forbidden Dorito #shorts,!X! SUBTITLES DISABLED !X!
W-x_iacztuQ,4th of July STEAK CAKE (& firework show) #shorts,this is the fourth of july stick cake rib eye strip fillet season and get started on your bacon roses applewood low and slow pop your garlic balms in the oven creamy mashed potatoes milk butter and that roasted garlic time to get patriotic and sear your steaks and assemble add your icing in even layers this is where i almost burned down my house edge to edge medium rare and everyone gets a slice
XDL4e4969G8,Steak Battles: Max vs. The Outback #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
R86b_OuBXDk,Onion Volcano #shorts,how to make an onion volcano chop separate medium heat and stack oil vodka light
6bCZhAKORW8,Chili Garlic Butter Oysters #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
8x5fkS2xECU,Dry Aged Sea Bass Sashimi #shorts,this is a dry aged fish and we're gonna cut into it fresh caught black sea bass clean extremely well then a quick stop at the dentist before 10 days in the dry ager and we're left with perfectly sweet and umami packed slices of sashimi paired with ponzu shoyu the texture has become extremely tender and flavor concentrated that just melts in your mouth
